brand,model,year,mileage,engine,power,price
Toyota,Corolla,2015,50000,1.8,132,15000
Honda,Civic,2017,30000,2.0,158,18000
Ford,Fusion,2018,20000,2.5,175,22000
Chevrolet,Malibu,2016,45000,1.5,160,17000
BMW,320i,2019,10000,2.0,180,35000
Mercedes,E-Class,2018,25000,2.0,200,40000
Audi,A4,2017,35000,2.0,190,33000
Honda,Accord,2016,40000,2.4,190,22000
Hyundai,Elantra,2020,15000,2.0,147,21000
Nissan,Altima,2019,30000,2.5,182,24000
Ford,Escape,2018,25000,2.5,170,23000
Chevrolet,Equinox,2017,40000,1.5,170,22000
Toyota,RAV4,2020,20000,2.5,203,28000
Honda,CR-V,2019,30000,1.8,190,27000
BMW,X3,2017,35000,2.0,245,38000
Audi,Q5,2018,25000,2.0,252,40000
Toyota,Highlander,2019,15000,3.5,295,45000
Chevrolet,Traverse,2018,40000,3.6,310,40000
Ford,Explorer,2016,45000,3.5,290,32000
BMW,X5,2019,12000,3.0,335,60000
Mercedes,GLE,2020,10000,3.5,362,65000
Jeep,Grand Cherokee,2017,50000,3.6,295,33000
Toyota,Sienna,2019,30000,3.5,296,42000
Honda,Odyssey,2017,35000,3.5,280,38000
Chrysler,Pacifica,2020,20000,3.6,287,45000
Volkswagen,Passat,2018,40000,1.8,170,20000
Toyota,Matrix,2015,50000,1.8,132,12000
Subaru,Outback,2019,25000,2.5,175,27000
Ford,Focus,2016,45000,2.0,160,14000
Hyundai,Santa Fe,2018,30000,2.4,185,25000
Mazda,CX-5,2020,18000,2.5,187,29000
Honda,FIT,2017,35000,1.5,130,15000
Kia,Sorento,2019,25000,3.3,290,33000
Nissan,Maxima,2018,35000,3.5,300,35000
Chevrolet,Impala,2019,20000,3.6,305,38000
Ford,Taurus,2017,40000,3.5,288,32000
Jeep,Cherokee,2020,15000,2.4,180,27000
Volkswagen,Jetta,2016,50000,2.0,150,14000
Subaru,Legacy,2019,25000,2.5,175,24000
Toyota,Yaris,2018,45000,1.5,106,11000
Mazda,3,2019,22000,2.0,155,21000
Hyundai,Kona,2020,18000,2.0,147,25000
Chevrolet,Trax,2017,50000,1.4,138,16000
Ford,Fusion Hybrid,2018,30000,2.0,188,23000
Toyota,Prius,2019,40000,1.8,121,25000
BMW,328i,2017,35000,2.0,180,30000
Honda,Insight,2020,20000,1.5,151,28000
Ford,Mustang,2018,25000,2.3,310,35000
Chevrolet,Camaro,2017,30000,2.0,275,33000
Dodge,Charger,2019,15000,3.6,292,35000
Nissan,370Z,2020,10000,3.7,332,45000
Toyota,GT86,2018,25000,2.0,205,27000
Mazda,MX-5 Miata,2019,20000,2.0,181,32000
BMW,440i,2020,15000,3.0,322,50000
Mercedes,C-Class,2020,10000,2.0,255,55000
Audi,A6,2019,20000,2.0,248,47000
Lexus,IS,2018,30000,2.0,241,43000
Acura,TLX,2020,15000,2.4,206,38000
Ford,F-150,2019,25000,3.5,400,45000
Chevrolet,Silverado 1500,2020,15000,5.3,355,50000
Ram,1500,2018,35000,3.6,305,42000
Toyota,Tundra,2017,40000,5.7,381,46000
GMC,Sierra 1500,2020,10000,5.3,355,53000
Nissan,Frontier,2018,45000,4.0,281,38000
Ford,Ranger,2019,25000,2.3,270,36000
Honda,Ridgeline,2020,15000,3.5,280,42000
Chevrolet,Colorado,2019,20000,3.6,308,39000
Ram,2500,2020,12000,6.4,410,60000
